audio_path,speaker_id
data/prepared/train/speaker_0000/audio_0000.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0001.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0002.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0003.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0004.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0005.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0006.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0007.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0008.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0009.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0010.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0011.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0012.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0013.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0014.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0015.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0016.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0017.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0018.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0019.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0020.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0021.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0022.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0023.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0024.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0025.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0026.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0027.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0028.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0029.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0030.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0031.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0032.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0033.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0034.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0035.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0036.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0037.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0038.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0039.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0040.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0041.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0042.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0043.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0044.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0045.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0046.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0047.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0048.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0049.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0050.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0051.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0052.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0053.wav,speaker_0000
data/prepared/train/speaker_0000/audio_0054.wav,speaker_0000
